Url,Labels
labaran batsa.com,Blocked
python.org,Allowed
harka.com,Blocked
physics.com,Allowed
gidan harka,Blocked
nono dadi,Blocked
Numpy.org,Allowed
matan hausawa,Blocked
Batsa novels,Blocked
machine-learning-course,Allowed
gindi dadi,Blocked
lesbian.com,Blocked
oracle.com/java,Allowed
numpy.com,Allowed
pandas.com,Allowed
seaborn.com,Allowed
matplotlib.com,Allowed
www.xvideos.com,Blocked
x.com,Allowed
Matan bariki,Blocked
lesbian girls,Blocked
networking,Allowed
probability,Allowed
Algebra ,Allowed
calculus,Allowed
technology,Allowed
education.com,Allowed
zallah.com,Blocked
harka zallah,Blocked
porn-adult,Blocked
nelfund,Allowed
houses,Allowed
karuwa tv,Blocked
yaran hausawa- gidan harka,Blocked
Bariki zallah,Blocked
Student,Allowed
artificial intelligence,Allowed
Excel,Allowed
Powerpoint,Allowed
Jupyter,Allowed
Anaconda,Allowed
xsite.com,Blocked
lesbiansite.com,Blocked
batsa story,Blocked
maryam harka,Blocked
Student login.com,Allowed
exam portal.com,Allowed
school portal,Allowed
ministry.com,Allowed
gov.site.com,Allowed
homosex.com,Blocked
result checker.com,Allowed
Jamb.com,Allowed
Neco.com,Allowed
waec.com,Allowed
nbayes,Allowed
adult chat,Blocked
live sex,Blocked
hot girls,Blocked
free porn video,Blocked
xxx movies,Blocked
dating hookup,Blocked
casino bonus,Blocked
bet now,Blocked
tensorflow.org,Allowed
scikit-learn.org,Allowed
openai.com,Allowed
coursera.org,Allowed
khanacademy.org,Allowed
wikipedia.org,Allowed
stackoverflow.com,Allowed
programming language,Allowed
freecodecamp.org,Allowed
intellipaat.com,Allowed
microsoft office,Allowed
data science,Allowed
lesbian-site.com,Blocked
sex,Blocked
programming ,Allowed
tutorial,Allowed
bisexual,Blocked
bisexy.com,Blocked
lesbian.com,Blocked
lesbian-movies,Blocked
lesbian-girls-site,Blocked
lesbian-romance,Blocked
lesbian women,Blocked
teacher,Allowed
teaching ,Allowed
Teachers,Allowed
lesbian films,Blocked
lesbian love,Blocked
lesbian movies on netflix,Blocked
lesbianism,Blocked
www.kaggle.com,Allowed
watermark,Allowed
Yellow,Allowed
Green,Allowed
Blue,Allowed
gindi ,Blocked
HTML,Allowed
CSS,Allowed
Javascript,Allowed
React,Allowed
Nodejs,Allowed
PHP,Allowed
SQL,Allowed
Typescript,Allowed
purple color,Allowed
Django,Allowed
xxx videos.com,Blocked
hausa novels,Allowed
magana jarice,Allowed
ummi harka cin gindi,Blocked
ruwan dadi,Blocked
xallah harka ,Blocked
xxxvideos.com,Blocked
xxvideos.com,Blocked
